Time ,Status,Data,Parametes
,,,
['2023-11-09 13:07:15'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: 29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:16'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: 29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:16'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: 29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:16'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: 29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:16'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: 29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:16'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: 29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:16'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:16'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:17'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:17'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:17'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:17'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:17'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:17'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:17'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:17'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:18'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:18'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:18'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:18'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:18'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:18'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:18'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:19'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:19'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:19'],Going towards goal : ,"Distance: 25, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:19'],Going towards goal : ,"Distance: 24, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:19'],Going towards goal : ,"Distance: 24, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:19'],Going towards goal : ,"Distance: 24, Speed: 101, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:19'],Going towards goal : ,"Distance: 25, Speed: 102, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:20'],Going towards goal : ,"Distance: 24, Speed: 101, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:20'],Going towards goal : ,"Distance: 25, Speed: 102, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:20'],Going towards goal : ,"Distance: 24, Speed: 101, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:20'],Going towards goal : ,"Distance: 23, Speed: 101, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:20'],Going towards goal : ,"Distance: 22, Speed: 101, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
